What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
35-44 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,Granulated Sugar,Chocolatey,Very strong,Dark,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Independent
55-64 years old,Pourover,,,Bright,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Student,,
35-44 years old,Latte,Soy milk,"Artificial Sweeteners (e.g., Splenda)",Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Unemployed,None,No affiliation
25-34 years old,Cortado,,,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat light,Nordic,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Pourover,,,Bright,Medium,Nordic,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Student,None,No affiliation
25-34 years old,Mocha,Oat milk,,Chocolatey,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Iced coffee,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Independent
35-44 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
>65 years old,Pourover,,,Sweet,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Retired,1,Democrat
45-54 years old,Cold brew,Whole milk,,Full Bodied,Very strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Pourover,"Coffee creamer, Whole milk",Granulated Sugar,Full Bodied,Very strong,Dark,Full caffeine,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,None,Independent
35-44 years old,Latte,,,Fruity,Very strong,Light,Half caff,Female,,Master's degree,White/Caucasian,,Homemaker,2,No affiliation
25-34 years old,Cappuccino,"Oat milk, Almond milk",,Full Bodied,Somewhat strong,Medium,Full caffeine,Non-binary,,Bachelor's degree,Asian/Pacific Islander,,Employed part-time,None,Democrat
35-44 years old,Mocha,Soy milk,,Chocolatey,Somewhat strong,Blonde,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cold brew,Oat milk,"Artificial Sweeteners (e.g., Splenda)",Sweet,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,"Oat milk, Flavored coffee creamer",,Sweet,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,Honey,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Mocha,"Flavored coffee creamer, Half and half, Coffee creamer",,Full Bodied,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Latte,"Skim milk, Oat milk",,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Oat milk,Stevia,Sweet,Medium,Medium,Full caffeine,Female,,Bachelor's degree,Black/African American,,Employed part-time,None,Democrat
35-44 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Cold brew,Flavored coffee creamer,,Bright,Somewhat light,Light,Full caffeine,Male,Male/Female couple,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Fruity,Very strong,Light,Decaf,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,Half and half,,Bold,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent
35-44 years old,Latte,"Almond milk, Oat milk","Artificial Sweeteners (e.g., Splenda)",Chocolatey,Medium,Dark,Decaf,Non-binary,,Some college or associate's degree,Hispanic/Latino,,Unemployed,None,Independent
25-34 years old,Cold brew,Oat milk,,Fruity,Medium,Medium,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,Flavored coffee creamer,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Americano,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Latte,"Oat milk, Whole milk",,Floral,Medium,Medium,Half caff,Male,,Some college or associate's degree,White/Caucasian,,Unemployed,None,Independent
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Cold brew,Oat milk,Granulated Sugar,Fruity,Medium,Light,Half caff,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
18-24 years old,Pourover,Oat milk,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Student,None,Democrat
35-44 years old,Latte,Half and half,"Granulated Sugar, Honey",Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,3,Republican
25-34 years old,Americano,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
25-34 years old,Regular drip coffee,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,None,Independent
35-44 years old,Latte,Whole milk,,Chocolatey,Somewhat light,Medium,Full caffeine,Prefer not to say,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,Half and half,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cortado,Oat milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,Hispanic/Latino,,Employed part-time,None,Democrat
55-64 years old,Pourover,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,,1,Independent
55-64 years old,Pourover,,,Bright,Medium,Light,Full caffeine,Female,,Bachelor's degree,,,,3,
25-34 years old,Latte,Flavored coffee creamer,,Full Bodied,Somewhat strong,Dark,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
45-54 years old,Regular drip coffee,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Unemployed,None,Democrat
35-44 years old,Pourover,,,Fruity,Somewhat strong,Light,,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,Granulated Sugar,Sweet,Medium,Light,Full caffeine,Non-binary,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Bold,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
55-64 years old,Pourover,,,Full Bodied,Medium,Italian,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Pourover,Oat milk,,Juicy,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Espresso,Whole milk,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,Other (please specify),Middle Eastern/Arab,Student,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
>65 years old,Espresso,Half and half,"Artificial Sweeteners (e.g., Splenda)",Fruity,Somewhat strong,Blonde,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Retired,2,Democrat
25-34 years old,Pourover,,,Juicy,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
45-54 years old,Pourover,,,Bright,Medium,Medium,Full caffeine,,,,,,,,
25-34 years old,Americano,Whole milk,,Floral,Medium,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Iced coffee,Flavored coffee creamer,,Chocolatey,Somewhat light,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Student,None,Independent
25-34 years old,Pourover,,,Nutty,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Pourover,Oat milk,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
>65 years old,Regular drip coffee,,,Bold,Somewhat strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Retired,1,No affiliation
35-44 years old,Mocha,"Coffee creamer, Flavored coffee creamer, Almond milk",Stevia,Sweet,Somewhat light,Blonde,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Latte,Whole milk,,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cortado,,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Cappuccino,,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,,,,,
25-34 years old,Regular drip coffee,Whole milk,"Artificial Sweeteners (e.g., Splenda)",Caramalized,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Americano,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
45-54 years old,,,,,,,,,,,,,,,
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,,,,,,,,,,,,,,,
18-24 years old,Latte,,,Fruity,Somewhat light,Light,Full caffeine,,,,,,,,
25-34 years old,Cortado,Whole milk,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Skim milk,"Artificial Sweeteners (e.g., Splenda)",Fruity,Somewhat light,Light,Full caffeine,Female,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,1,Democrat
25-34 years old,Americano,Half and half,,Nutty,Very strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Student,None,Independent
18-24 years old,,,,,,,,,,,,,,,
25-34 years old,Latte,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
45-54 years old,Pourover,,,Sweet,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Latte,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cold brew,Almond milk,,Floral,Somewhat strong,Blonde,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,Democrat
25-34 years old,Iced coffee,"Coffee creamer, Flavored coffee creamer",,Chocolatey,Medium,Medium,Half caff,Female,,Some college or associate's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Latte,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,"Whole milk, Half and half",Granulated Sugar,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,None,No affiliation
25-34 years old,Cortado,,,Bright,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Cortado,Oat milk,,Caramalized,Medium,Medium,Full caffeine,Female,,,,,,,
18-24 years old,Iced coffee,Whole milk,,Juicy,Somewhat strong,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Cappuccino,Oat milk,,Caramalized,Medium,Light,Half caff,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
45-54 years old,Latte,Whole milk,,Chocolatey,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Other (please specify),Gender queer,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,"Whole milk, Half and half",,Sweet,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Black/African American,,Employed full-time,None,Republican
35-44 years old,Americano,,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
18-24 years old,Pourover,,,Floral,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Cappuccino,,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Latte,Oat milk,,Caramalized,Somewhat light,Medium,Decaf,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,Democrat
<18 years old,Pourover,,,Floral,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,No affiliation
25-34 years old,Regular drip coffee,Half and half,,Juicy,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,Independent
25-34 years old,Espresso,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Other,,,Fruity,,Blonde,Decaf,Female,,,,,,,
18-24 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Republican
25-34 years old,Pourover,,,Fruity,Medium,Blonde,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,No affiliation
55-64 years old,Cortado,,Stevia,Bold,Very strong,Medium,Full caffeine,,,,,,,,
18-24 years old,Latte,,,Fruity,Somewhat light,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed part-time,None,Republican
25-34 years old,Latte,Flavored coffee creamer,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Latte,,,Fruity,Medium,Medium,Half caff,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Independent
25-34 years old,Other,Almond milk,,Bold,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Mocha,Whole milk,,Fruity,Medium,Blonde,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Employed part-time,None,No affiliation
25-34 years old,Latte,"Half and half, Whole milk, Oat milk",Raw Sugar (Turbinado),Full Bodied,Very strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,Whole milk,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,Hispanic/Latino,,Employed full-time,None,No affiliation
18-24 years old,Latte,,,Fruity,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Mocha,Half and half,Granulated Sugar,Nutty,Medium,Light,Decaf,Female,,Some college or associate's degree,White/Caucasian,,Student,None,
25-34 years old,Pourover,,,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent
25-34 years old,Pourover,,,Caramalized,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
>65 years old,Cappuccino,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,,,Retired,,
35-44 years old,Pourover,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Cappuccino,"Whole milk, Oat milk, Almond milk, Soy milk, Skim milk",,Floral,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Bold,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,,"Granulated Sugar, Brown Sugar",Chocolatey,Medium,Medium,Full caffeine,Prefer not to say,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
55-64 years old,Regular drip coffee,Half and half,,Sweet,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,,
45-54 years old,Cold brew,Almond milk,,Chocolatey,Medium,French,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation
35-44 years old,Regular drip coffee,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Caramalized,Medium,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cappuccino,Oat milk,,Fruity,Very strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Cappuccino,Half and half,"Granulated Sugar, Honey, Brown Sugar, Raw Sugar (Turbinado)",Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Americano,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Iced coffee,,,Full Bodied,Somewhat strong,Medium,Full caffeine,,,,,,,,
18-24 years old,Iced coffee,"Oat milk, Soy milk",,Sweet,Medium,Blonde,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Other,,,Floral,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Americano,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Cold brew,Oat milk,,Chocolatey,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,Whole milk,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Cortado,Whole milk,,Juicy,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Iced coffee,Oat milk,Brown Sugar,Chocolatey,Somewhat strong,Blonde,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Unemployed,None,No affiliation
25-34 years old,Latte,,,Caramalized,Very strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Student,None,Democrat
35-44 years old,Cappuccino,"Oat milk, Almond milk, Skim milk, Whole milk",,Nutty,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
55-64 years old,Latte,Almond milk,,Caramalized,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
35-44 years old,Blended drink (e.g. Frappuccino),Coffee creamer,,Sweet,Medium,Medium,Full caffeine,Female,,High school graduate,White/Caucasian,,Employed full-time,2,Republican
45-54 years old,Regular drip coffee,,,Chocolatey,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Other,Whole milk,,Floral,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,No affiliation
18-24 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
35-44 years old,Pourover,,,Floral,Medium,Nordic,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Employed part-time,None,No affiliation
25-34 years old,Americano,,,Chocolatey,Somewhat strong,Dark,Half caff,Male,,High school graduate,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,"Oat milk, Almond milk",,Bold,Medium,Italian,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cold brew,,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,Whole milk,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Latte,Oat milk,,Floral,Somewhat light,Light,Full caffeine,,,,,,,,
35-44 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,1,Democrat
35-44 years old,Espresso,"Whole milk, Oat milk",,Juicy,Somewhat strong,Nordic,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
35-44 years old,Pourover,Skim milk,,Nutty,Somewhat strong,Medium,Half caff,,,,,,,,
35-44 years old,Americano,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,"Whole milk, Oat milk",,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
45-54 years old,Latte,"Skim milk, Almond milk, Whole milk",,Caramalized,Somewhat strong,Light,Full caffeine,,,,,,,,
55-64 years old,Pourover,,,Fruity,Medium,Medium,Half caff,Male,,Bachelor's degree,White/Caucasian,,Retired,None,Independent
35-44 years old,Americano,Whole milk,,Full Bodied,Somewhat strong,Dark,Half caff,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,1,No affiliation
25-34 years old,Mocha,"Skim milk, Whole milk, Half and half",Raw Sugar (Turbinado),Chocolatey,Medium,Dark,Full caffeine,,,,,,,,
35-44 years old,Cold brew,Whole milk,,Caramalized,Medium,Dark,Decaf,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Espresso,,,Bright,Medium,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Unemployed,None,No affiliation
35-44 years old,Pourover,Flavored coffee creamer,,Juicy,Somewhat strong,Medium,Full caffeine,Female,,Less than high school,White/Caucasian,,Homemaker,1,Democrat
35-44 years old,Latte,,,Full Bodied,Very strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,
35-44 years old,Latte,Almond milk,,Chocolatey,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
35-44 years old,Regular drip coffee,Whole milk,,Bright,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cold brew,Whole milk,Granulated Sugar,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,Other (please specify),Doesn't matter,Unemployed,None,No affiliation
25-34 years old,Espresso,,,Floral,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Pourover,,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Student,None,Independent
18-24 years old,Regular drip coffee,Whole milk,,Full Bodied,Medium,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Regular drip coffee,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,Half and half,Stevia,Caramalized,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Iced coffee,Oat milk,,Sweet,Somewhat light,Light,Full caffeine,,,,,,,,
35-44 years old,Cortado,,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
45-54 years old,Cortado,Half and half,Granulated Sugar,Nutty,Very strong,Dark,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Chocolatey,Very strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Latte,,,Chocolatey,Somewhat strong,Light,Full caffeine,Non-binary,,Some college or associate's degree,,,Unemployed,2,Democrat
18-24 years old,Regular drip coffee,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,No affiliation
